id_int,id,location_type,net_type,parent_station,route_type,stop_code,stop_id,stop_name,unique_agency_id,wheelchair_boarding,x,y,zone_id
1,21_detroit_department_of_transportation,,transit,,3.0,MKWDEB,21,Mack & Woodward,detroit_department_of_transportation,,-83.057625,42.347309,
2,221_detroit_department_of_transportation,,transit,,3.0,CSTPSB,221,Cass & Ledyard,detroit_department_of_transportation,,-83.058759,42.341953000000004,
3,223_detroit_department_of_transportation,,transit,,3.0,JFSBWB,223,Jefferson & Shelby,detroit_department_of_transportation,,-83.04621999999999,42.3283,
4,224_detroit_department_of_transportation,,transit,,3.0,CSTPNB,224,Cass & Ledyard,detroit_department_of_transportation,,-83.058514,42.342166999999996,
5,266_detroit_department_of_transportation,,transit,,3.0,14GRSB,266,Fourteenth & Grand River,detroit_department_of_transportation,,-83.08549000000001,42.346987,
6,267_detroit_department_of_transportation,,transit,,3.0,14FSSB,267,Fourteeth & Fisher Fwy,detroit_department_of_transportation,,-83.07790200000001,42.333762,
7,272_detroit_department_of_transportation,,transit,,3.0,RPFIEB,272,Rosa Parks Blvd. & Fisher Fwy.,detroit_department_of_transportation,,-83.073236,42.333874,
8,273_detroit_department_of_transportation,,transit,,3.0,ROGRNB,273,Rosa Parks Blvd. & Grand River,detroit_department_of_transportation,,-83.0798,42.345184,
9,290_detroit_department_of_transportation,,transit,,3.0,FTRPWB,290,Fort & Rosa Park,detroit_department_of_transportation,,-83.066968,42.322365999999995,
10,303_detroit_department_of_transportation,,transit,,3.0,FTRPEB,303,Fort & Rosa Parks Blvd.,detroit_department_of_transportation,,-83.066528,42.322294,
11,335_detroit_department_of_transportation,,transit,,3.0,GRWREB,335,Grand River & Warren,detroit_department_of_transportation,,-83.08903000000001,42.348634999999994,
12,337_detroit_department_of_transportation,,transit,,3.0,GRFSEB,337,Grand River & Fisher Ser. Dr.,detroit_department_of_transportation,,-83.057586,42.336003999999996,
13,344_detroit_department_of_transportation,,transit,,3.0,GR2NWB,344,Grand River & Second,detroit_department_of_transportation,,-83.05840400000001,42.336461,
14,346_detroit_department_of_transportation,,transit,,3.0,GRWRWB,346,Grand River & Warren,detroit_department_of_transportation,,-83.08992099999999,42.349289,
15,390_detroit_department_of_transportation,,transit,,3.0,TH2DSB,390,TEMPLE AND 2ND,detroit_department_of_transportation,,-83.060764,42.341122999999996,
