id,x,y,id,old_node_id,id_int
31920104,-83.0674399,42.3022977,31920104,31920104,1
31920156,-83.0660314,42.3004877,31920156,31920156,2
31920260,-83.0650847,42.2992916,31920260,31920260,3
31920379,-83.0669432,42.3023134,31920379,31920379,4
62543094,-83.129124,42.327558,62543094,62543094,5
62543096,-83.129558,42.328108,62543096,62543096,6
62543098,-83.129647,42.328221,62543098,62543098,7
62543100,-83.130077,42.328771,62543100,62543100,8
62543106,-83.131896,42.331111,62543106,62543106,9
62543108,-83.126241,42.324056,62543108,62543108,10
62543110,-83.126711,42.324665,62543110,62543110,11
62543112,-83.127232,42.325292,62543112,62543112,12
62543113,-83.127348,42.325428,62543113,62543113,13
62543115,-83.127899,42.326063,62543115,62543115,14
62543117,-83.128548,42.32682,62543117,62543117,15
62543119,-83.129054,42.327469,62543119,62543119,16
62543150,-83.011216,42.382732,62543150,62543150,17
62543155,-83.010231,42.383116,62543155,62543155,18
62543159,-83.009284,42.383496,62543159,62543159,19
62543161,-83.008308,42.383882,62543161,62543161,20
62544399,-83.106816,42.348772,62544399,62544399,21
62544401,-83.107452,42.34976,62544401,62544401,22
62544510,-83.0971614,42.3341074,62544510,62544510,23
62544512,-83.098121,42.335528,62544512,62544512,24
62544518,-83.099978,42.338275,62544518,62544518,25
62544520,-83.10058,42.339173,62544520,62544520,26
62544521,-83.101069,42.33992,62544521,62544521,27
62544523,-83.102976,42.342862,62544523,62544523,28
62544525,-83.103453,42.343596,62544525,62544525,29
62544527,-83.103943,42.344351,62544527,62544527,30
62544529,-83.104275,42.344859,62544529,62544529,31
62544532,-83.104899,42.345822,62544532,62544532,32
62544533,-83.105378,42.346566,62544533,62544533,33
62544534,-83.105857,42.347298,62544534,62544534,34
62544535,-83.106034,42.347568,62544535,62544535,35
62545094,-83.07139,42.351144,62545094,62545094,36
62545316,-83.054579,42.36329,62545316,62545316,37
62545422,-83.061896,42.367163,62545422,62545422,38
62546052,-83.091459,42.336441,62546052,62546052,39
62547398,-83.0585634,42.3371299,62547398,62547398,40
62548070,-83.119727,42.373237,62548070,62548070,41
62548078,-83.118633,42.373734,62548078,62548078,42
62548270,-83.045949,42.375056,62548270,62548270,43
62548287,-83.046038,42.375388,62548287,62548287,44
62549220,-83.0736927,42.3337875,62549220,62549220,45
62549384,-83.093879,42.381646,62549384,62549384,46
62549611,-83.0477768,42.3735076,62549611,62549611,47
62551239,-83.055008,42.380066,62551239,62551239,48
62551522,-83.0924156,42.3355474,62551522,62551522,49
62551533,-83.0925247,42.3356882,62551533,62551533,50
62551535,-83.0927663,42.3354382,62551535,62551535,51
62551540,-83.0928486,42.3355871,62551540,62551540,52
62551698,-83.084404,42.3701481,62551698,62551698,53
62552980,-83.072895,42.351899,62552980,62552980,54
62553495,-83.048369,42.350767,62553495,62553495,55
62554479,-83.0740809,42.3324054,62554479,62554479,56
62554543,-83.092438,42.381086,62554543,62554543,57
62554803,-83.0680888,42.333958,62554803,62554803,58
62554804,-83.0676781,42.33405,62554804,62554804,59
62554824,-83.065374,42.334236,62554824,62554824,60
62555084,-83.050684,42.341098,62555084,62555084,61
62555090,-83.0508507,42.3410997,62555090,62555090,62
62555739,-83.12746,42.29298,62555739,62555739,63
62556048,-83.094566,42.3347831,62556048,62556048,64
62556053,-83.094678,42.3349291,62556053,62556053,65
62556058,-83.0957359,42.3342667,62556058,62556058,66
62556067,-83.095846,42.334405,62556067,62556067,67
62556327,-83.053546,42.377526,62556327,62556327,68
62556336,-83.053392,42.378011,62556336,62556336,69
62556351,-83.05412,42.377434,62556351,62556351,70
62556358,-83.053679,42.377835,62556358,62556358,71
62556383,-83.06597,42.339808,62556383,62556383,72
62557238,-83.07335,42.3336934,62557238,62557238,73
62557643,-83.08258,42.366687,62557643,62557643,74
62557647,-83.0828826,42.3679244,62557647,62557647,75
62557753,-83.081977,42.367912,62557753,62557753,76
62557774,-83.0684491,42.3860173,62557774,62557774,77
62557852,-83.0949616,42.3827832,62557852,62557852,78
62557998,-83.0726836,42.3341072,62557998,62557998,79
62558331,-83.1048345,42.3479469,62558331,62558331,80
62558333,-83.103928,42.348232,62558333,62558333,81
62558335,-83.102987,42.348527,62558335,62558335,82
62558336,-83.101778,42.348909,62558336,62558336,83
62558498,-83.0900912,42.3785797,62558498,62558498,84
62558825,-83.091896,42.313713,62558825,62558825,85
62558843,-83.092094,42.380868,62558843,62558843,86
62558846,-83.0921491,42.3810095,62558846,62558846,87
62558855,-83.091457,42.380363,62558855,62558855,88
62559105,-83.081381,42.365696,62559105,62559105,89
62559953,-83.0976924,42.3470036,62559953,62559953,90
62560188,-83.124615,42.336992,62560188,62560188,91
62561059,-83.043554,42.348272,62561059,62561059,92
62561807,-83.0597559,42.3745175,62561807,62561807,93
62561809,-83.059215,42.374545,62561809,62561809,94
62562299,-83.0380698,42.3369479,62562299,62562299,95
62562474,-83.0675608,42.3352826,62562474,62562474,96
62563185,-83.114913,42.342732,62563185,62563185,97
62563460,-83.0360198,42.3777809,62563460,62563460,98
62565208,-83.058019,42.375871,62565208,62565208,99
62565210,-83.058081,42.375965,62565210,62565210,100
62566735,-83.0975653,42.3815872,62566735,62566735,101
62566737,-83.0974526,42.3814228,62566737,62566737,102
62566745,-83.0918991,42.3816479,62566745,62566745,103
62566886,-83.019515,42.385915,62566886,62566886,104
62567170,-83.096488,42.347393,62567170,62567170,105
62567640,-83.05816,42.328362,62567640,62567640,106
62567787,-83.0876676,42.331456,62567787,62567787,107
62567800,-83.112534,42.344576,62567800,62567800,108
