ZCTA5CE10,CBSAFP
00601,38660
00602,10380
00603,10380
00606,49500
00610,10380
00612,11640
00616,11640
00617,41980
00622,41900
00623,41900
00624,49500
00627,11640
00631,10380
00637,41900
00638,41980
00641,10380
00646,41980
00647,49500
00650,41980
00652,11640
00653,49500
00656,49500
00659,11640
00660,32420
00662,10380
00664,10380
00667,41900
00669,10380
00670,32420
00674,41980
00676,10380
00677,10380
00678,11640
00680,32420
00682,32420
00683,41900
00685,10380
00687,41980
00688,11640
00690,10380
00692,41980
00693,41980
00694,41980
00698,49500
00703,41980
00704,25020
00705,41980
00707,41980
00714,25020
00715,38660
00716,38660
00717,38660
00718,41980
00719,41980
00720,41980
00723,25020
00725,41980
00727,41980
00728,38660
00729,41980
00730,38660
00731,38660
00735,41980
00736,41980
00738,41980
00739,41980
00740,41980
00741,41980
00745,41980
00754,41980
00766,38660
00767,41980
00771,41980
00772,41980
00773,41980
00777,41980
00778,41980
00780,38660
00782,41980
00783,41980
00784,25020
00786,41980
00791,41980
00794,41980
00795,38660
00901,41980
00906,41980
00907,41980
00909,41980
00911,41980
00912,41980
00913,41980
00915,41980
00917,41980
00918,41980
00920,41980
00921,41980
00923,41980
00924,41980
00925,41980
00926,41980
00927,41980
00934,41980
00936,41980
00949,41980
00950,41980
00951,41980
00952,41980
00953,41980
00956,41980
00957,41980
00959,41980
00960,41980
00961,41980
00962,41980
00965,41980
00966,41980
00968,41980
00969,41980
00971,41980
00976,41980
00979,41980
00982,41980
00983,41980
00985,41980
00987,41980
01001,44140
01002,44140
01003,44140
01005,49340
01007,44140
01008,44140
01009,44140
01010,44140
01011,44140
01012,44140
01013,44140
01020,44140
01022,44140
01026,44140
01027,44140
01028,44140
01029,38340
01030,44140
01031,49340
01032,44140
01033,44140
01034,44140
01035,44140
01036,44140
01037,49340
01038,44140
01039,44140
01040,44140
01050,44140
01053,44140
01054,44140
01056,44140
01057,44140
01060,44140
01062,44140
01063,44140
01066,44140
01068,49340
01069,44140
01070,44140
01071,44140
01072,44140
01073,44140
01074,49340
01075,44140
01077,44140
01079,44140
01080,44140
01081,44140
01082,44140
01083,49340
01084,44140
01085,44140
01086,44140
01088,44140
01089,44140
01092,49340
01093,44140
01094,49340
01095,44140
01096,44140
01097,44140
01098,44140
01103,44140
01104,44140
01105,44140
01106,44140
01107,44140
01108,44140
01109,44140
01118,44140
01119,44140
01128,44140
01129,44140
01151,44140
01199,44140
01201,38340
01220,38340
01222,38340
01223,38340
01224,38340
01225,38340
01226,38340
01229,38340
01230,38340
01235,38340
01236,38340
01237,38340
01238,38340
01240,38340
01242,38340
01243,44140
01244,38340
01245,38340
01247,38340
01253,38340
01254,38340
01255,38340
01256,38340
01257,38340
01258,38340
01259,38340
01260,38340
01262,38340
01264,38340
01266,38340
01267,38340
01270,38340
01301,44140
01330,44140
01331,49340
01337,44140
01338,44140
01339,44140
01340,44140
01341,44140
01342,44140
01343,38340
01344,44140
01346,44140
01347,44140
01349,44140
01350,44140
01351,44140
01354,44140
01355,44140
01360,44140
01364,44140
01366,49340
01367,44140
01368,49340
01370,44140
01373,44140
01375,44140
01376,44140
01378,44140
01379,44140
01420,49340
01430,49340
01431,14460
01432,14460
01434,49340
01436,49340
01438,49340
01440,49340
01450,14460
01451,49340
01452,49340
01453,49340
01460,14460
01462,49340
01463,14460
01464,14460
01467,49340
01468,49340
01469,14460
01473,49340
01474,14460
01475,49340
01501,49340
01503,49340
01504,49340
01505,49340
01506,49340
01507,49340
01510,49340
01515,49340
01516,49340
01518,49340
01519,49340
01520,49340
01521,44140
01522,49340
01523,49340
01524,49340
01525,49340
01527,49340
01529,49340
01531,49340
01532,49340
01534,49340
01535,49340
01536,49340
01537,49340
01540,49340
01541,49340
01542,49340
01543,49340
01545,49340
01550,49340
01560,49340
01561,49340
01562,49340
01564,49340
01566,49340
01568,49340
01569,49340
01570,49340
01571,49340
01581,49340
01583,49340
01585,49340
01588,49340
01590,49340
01602,49340
01603,49340
01604,49340
01605,49340
01606,49340
01607,49340
01608,49340
01609,49340
01610,49340
01611,49340
01612,49340
01701,14460
01702,14460
01718,14460
01719,14460
01720,14460
01721,14460
01730,14460
01731,14460
01740,49340
01741,14460
01742,14460
01745,49340
01746,14460
01747,49340
01748,14460
01749,14460
01752,14460
01754,14460
01756,49340
01757,49340
01760,14460
01770,14460
01772,49340
01773,14460
01775,14460
01776,14460
01778,14460
01801,14460
01803,14460
01810,14460
01821,14460
01824,14460
01826,14460
01827,14460
01830,14460
01832,14460
01833,14460
01834,14460
01835,14460
01840,14460
01841,14460
01843,14460
01844,14460
01845,14460
01850,14460
01851,14460
01852,14460
01854,14460
01860,14460
01862,14460
01863,14460
01864,14460
01867,14460
01876,14460
01879,14460
01880,14460
01886,14460
01887,14460
01890,14460
01901,14460
01902,14460
01904,14460
